"filename", "language", "Java", "comment", "blank", "total"
"/Users/fedyk/Femmebot/inventory/ItemCountsMerge/InventoryCSVReader.java", "Java", 89, 5, 8, 102
"/Users/fedyk/Femmebot/inventory/ItemCountsMerge/ItemCountsMerge.class", "Java", 16, 0, 0, 16
"/Users/fedyk/Femmebot/inventory/ItemCountsMerge/ItemCountsMerge.java", "Java", 58, 7, 17, 82
"/Users/fedyk/Femmebot/inventory/ItemCountsMerge/LibraryCSVReader.java", "Java", 175, 8, 10, 193
"/Users/fedyk/Femmebot/inventory/ItemCountsMerge/LibraryCSVWriter.java", "Java", 67, 3, 18, 88
"/Users/fedyk/Femmebot/inventory/ItemCountsMerge/LibraryItem.java", "Java", 221, 0, 60, 281
"Total", "-", 626, 23, 113, 762
